lab,grp,metric,year,v,pct
ECPC 2015,World,Net CO₂,2050,13166.96594191273,-68.94239320764835
ECPC 2015*,Higher resp.,Gross CO₂,2050,7139.923017192472,-76.09284027915828
ECPC 2015*,Higher resp.,Net CO₂,2050,4335.0418709502355,-85.25293814786083
ECPC 2015*,Lower resp.,Gross CO₂,2050,10879.692433570006,-15.151993342290304
ECPC 2015*,Lower resp.,Net CO₂,2050,7851.059876882921,-36.43437602525139
ECPC 2015*,World,Gross CO₂,2050,18643.10221196383,-56.9801005712911
ECPC 2015*,World,Net CO₂,2050,12842.35128542562,-69.70807866659823
ECPC 2025,Higher resp.,Gross CO₂,2050,7718.215175353677,-74.15649965515159
ECPC 2025,Higher resp.,Net CO₂,2050,5035.705429734891,-82.86940203759198
ECPC 2025,Lower resp.,Gross CO₂,2050,10504.195311222196,-18.080401707825622
ECPC 2025,Lower resp.,Net CO₂,2050,7437.137451605087,-39.78567351279176
ECPC 2025,World,Gross CO₂,2050,18842.91003471606,-56.51903393430436
ECPC 2025,World,Net CO₂,2050,13128.17056932318,-69.03390186898797
Source,Higher resp.,Gross CO₂,2050,9941.76231183649,-66.71122378723086
Source,Higher resp.,Net CO₂,2050,7236.620861148613,-75.38226881844476
Source,Lower resp.,Gross CO₂,2050,8339.48744277296,-34.96241824971315
Source,Lower resp.,Net CO₂,2050,5189.62332583989,-57.982533559291305
Source,World,Gross CO₂,2050,18899.18169252528,-56.389184243404436
Source,World,Net CO₂,2050,13081.45309133594,-69.14409681200362
CAPC 1990,Higher resp.,Gross CO₂,2055,5180.681070099033,-82.65312251863737
CAPC 1990,Higher resp.,Net CO₂,2055,1703.6802219457272,-94.20437486944212
CAPC 1990,Lower resp.,Gross CO₂,2055,9943.16121813799,-22.455766614128482
CAPC 1990,Lower resp.,Net CO₂,2055,6309.12351098162,-48.91856908515538
CAPC 1990,World,Gross CO₂,2055,15716.79782728478,-63.73269565420041
CAPC 1990,World,Net CO₂,2055,8629.11294099841,-79.64606289173781
CAPC 2015,Higher resp.,Gross CO₂,2055,3859.605919459525,-87.07658122449787
CAPC 2015,Higher resp.,Net CO₂,2055,241.45396844748333,-99.17861540600092
CAPC 2015,Lower resp.,Gross CO₂,2055,10643.698349741298,-16.992452318326613
CAPC 2015,Lower resp.,Net CO₂,2055,6972.893031930143,-43.54439993650988
