ssp,region,year,driver,value
SSP2,China,2100,"Urban share
(%)",81.84986634286827
SSP2,World,2020,"GDP
(tn US$)",118.25988426426001
SSP2,World,2020,"GDP/cap
(000 US$)",15.157579679688807
SSP2,World,2020,"Population
(bn)",7.8020295299999995
SSP2,World,2020,"Urban share
(%)",55.89218504857415
SSP2,World,2025,"GDP
(tn US$)",142.50769031438
SSP2,World,2025,"GDP/cap
(000 US$)",17.488432626128933
SSP2,World,2025,"Population
(bn)",8.14868281
SSP2,World,2025,"Urban share
(%)",57.494803609862814
SSP2,World,2030,"GDP
(tn US$)",166.6810584664449
SSP2,World,2030,"GDP/cap
(000 US$)",19.62405769114543
SSP2,World,2030,"Population
(bn)",8.493710174
SSP2,World,2030,"Urban share
(%)",59.09042920668487
SSP2,World,2035,"GDP
(tn US$)",192.34841266885198
SSP2,World,2035,"GDP/cap
(000 US$)",21.823041068570323
SSP2,World,2035,"Population
(bn)",8.814005897
SSP2,World,2035,"Urban share
(%)",60.680657497092106
SSP2,World,2040,"GDP
(tn US$)",217.1591595487705
SSP2,World,2040,"GDP/cap
(000 US$)",23.843565648572476
SSP2,World,2040,"Population
(bn)",9.107662954
SSP2,World,2040,"Urban share
(%)",62.25781670638841
SSP2,World,2045,"GDP
(tn US$)",244.5828871184875
